suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,147,1,0,0,3.2316,408,3,921.522,493.13,181,613,869,1125,1061,0,0,1849522.00,1849669.00,1849595.50,0.00,28
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,47,1,0,0.402253,3.32187,408,3,938.125,496,181,613,869,1125,1061,0,0,1849676.00,1849723.00,1849699.50,154.00,28
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,214,1,0,0.659331,3.39283,408,3,911.242,502.333,181,613,869,1125,1061,0,0,1849730.00,1849944.00,1849837.00,208.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,127,0,0,0,3.15912,1613,15,970.2,487.05,181,613,677,1125,1061,0,0,1851190.00,1851317.00,1851253.50,0.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,87,0,0,0.690303,3.17577,1613,15,973.786,458.357,181,613,677,1125,1061,0,0,1851324.00,1851411.00,1851367.50,134.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,107,0,0,5.59929,3.13891,1613,15,748.471,390.588,181,613,677,1125,1061,0,0,1851458.00,1851565.00,1851511.50,268.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,134,0,0,1.07202,3.08229,1613,15,751.19,345.762,181,613,677,1125,1061,0,0,1851585.00,1851719.00,1851652.00,395.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,47,0,0,0.554309,3.04094,1613,15,770.75,333.25,181,613,677,1125,1061,0,0,1851726.00,1851773.00,1851749.50,536.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,234,0,0,1.32774,2.93988,1613,15,752.528,280.694,181,613,677,1125,1061,0,0,1851780.00,1852014.00,1851897.00,590.00,28
2019_07_13_16_38_07,0,0,0-test-04-same2,N/A,N/A,80,0,0,1.19297,2.82386,1613,15,707.692,258.615,181,613,677,1125,1061,0,0,1852021.00,1852101.00,1852061.00,831.00,28
